,Accuracy,Shape
1604,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1605,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1606,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1607,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1608,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1609,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1610,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1611,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1612,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1613,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1614,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1615,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1616,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1617,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1618,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1619,"(0.7176724137931034, 0.47808764940239046, 0.2870370524627242)","(0.33004926108374383, 14.527942925089183, 0.37433862433862436)"
1620,"(0.7155172413793104, 0.47619047619047616, 0.2836509894535743)","(0.33251231527093594, 14.765755053507725, 0.3716931216931217)"
1621,"(0.7155172413793104, 0.47619047619047616, 0.2836509894535743)","(0.33251231527093594, 14.765755053507725, 0.3716931216931217)"
1622,"(0.7155172413793104, 0.47619047619047616, 0.2836509894535743)","(0.33251231527093594, 14.765755053507725, 0.3716931216931217)"
1623,"(0.7155172413793104, 0.47619047619047616, 0.2836509894535743)","(0.33251231527093594, 14.765755053507725, 0.3716931216931217)"
1624,"(0.7155172413793104, 0.47619047619047616, 0.2836509894535743)","(0.33251231527093594, 14.765755053507725, 0.3716931216931217)"
1625,"(0.7133620689655172, 0.4743083003952569, 0.28028740719532647)","(0.33497536945812806, 14.856123662306777, 0.36904761904761907)"
1626,"(0.7133620689655172, 0.4743083003952569, 0.28028740719532647)","(0.33497536945812806, 14.856123662306777, 0.36904761904761907)"
1627,"(0.7133620689655172, 0.4743083003952569, 0.28028740719532647)","(0.33497536945812806, 14.856123662306777, 0.36904761904761907)"
1628,"(0.7112068965517241, 0.47244094488188976, 0.2769458370240945)","(0.3374384236453202, 14.592152199762188, 0.3664021164021164)"
